"Timestamp","Name","Sensor value"
"08/13/2019 - 16:08","base_altitutde","35.5439"
"08/13/2019 - 16:08","temp","31.76"
"08/13/2019 - 16:08","pressure","1032.01"
"08/13/2019 - 16:08","depth","0.19"
"08/13/2019 - 16:08","base_temp","25.102"
"08/13/2019 - 16:08","batt","3.59648"
"08/13/2019 - 16:08","height","0.224308"
"08/13/2019 - 16:08","base_humid","78.6259"
"08/13/2019 - 16:10","base_pressure","1008.96"
"08/13/2019 - 16:10","base_altitutde","35.4805"
"08/13/2019 - 16:10","temp","31.75"
"08/13/2019 - 16:10","pressure","1031.97"
"08/13/2019 - 16:10","depth","0.19"
"08/13/2019 - 16:10","base_temp","25.0918"
"08/13/2019 - 16:10","batt","3.52559"
"08/13/2019 - 16:10","height","0.224049"
"08/13/2019 - 16:10","base_humid","78.8306"
"08/13/2019 - 16:12","base_pressure","1009"
"08/13/2019 - 16:12","base_altitutde","35.2585"
"08/13/2019 - 16:12","temp","31.74"
"08/13/2019 - 16:12","pressure","1031.97"
"08/13/2019 - 16:12","depth","0.19"
"08/13/2019 - 16:12","base_temp","25.0816"
"08/13/2019 - 16:12","batt","3.59648"
"08/13/2019 - 16:12","height","0.223638"
"08/13/2019 - 16:12","base_humid","77.8135"
"08/13/2019 - 16:13","base_pressure","1009.01"
"08/13/2019 - 16:13","base_altitutde","35.5227"
"08/13/2019 - 16:13","temp","31.72"
"08/13/2019 - 16:13","pressure","1031.96"
"08/13/2019 - 16:13","depth","0.19"
"08/13/2019 - 16:13","base_temp","25.0715"
"08/13/2019 - 16:13","batt","3.5707"
"08/13/2019 - 16:13","height","0.223486"
"08/13/2019 - 16:13","base_humid","78.2469"
"08/13/2019 - 16:15","base_pressure","1009.06"
"08/13/2019 - 16:15","base_altitutde","34.8992"
"08/13/2019 - 16:15","temp","31.69"
"08/13/2019 - 16:15","pressure","1031.95"
"08/13/2019 - 16:15","depth","0.19"
"08/13/2019 - 16:15","base_temp","25.0461"
"08/13/2019 - 16:15","batt","3.60293"
"08/13/2019 - 16:15","height","0.222877"
"08/13/2019 - 16:15","base_humid","78.336"
"08/13/2019 - 16:16","base_pressure","1009.09"
"08/13/2019 - 16:16","base_altitutde","34.6349"
"08/13/2019 - 16:16","temp","31.68"
"08/13/2019 - 16:16","pressure","1031.97"
"08/13/2019 - 16:16","depth","0.19"
"08/13/2019 - 16:16","base_temp","25.0156"
"08/13/2019 - 16:16","batt","3.52559"
"08/13/2019 - 16:16","height","0.222813"
"08/13/2019 - 16:16","base_humid","78.4503"
"08/13/2019 - 16:18","base_pressure","1009.06"
"08/13/2019 - 16:18","base_altitutde","35.174"
"08/13/2019 - 16:18","temp","31.65"
"08/13/2019 - 16:18","pressure","1031.88"
"08/13/2019 - 16:18","depth","0.19"
"08/13/2019 - 16:18","base_temp","24.9953"
"08/13/2019 - 16:18","batt","3.59971"
"08/13/2019 - 16:18","height","0.222204"
"08/13/2019 - 16:18","base_humid","78.0749"
"08/13/2019 - 16:19","base_pressure","1009.02"
"08/13/2019 - 16:19","base_altitutde","35.417"
"08/13/2019 - 16:19","temp","31.63"
"08/13/2019 - 16:19","pressure","1031.88"
"08/13/2019 - 16:19","depth","0.19"
"08/13/2019 - 16:19","base_temp","24.9699"
"08/13/2019 - 16:19","batt","3.52559"
"08/13/2019 - 16:19","height","0.222637"
"08/13/2019 - 16:19","base_humid","78.1728"
"08/13/2019 - 16:21","base_pressure","1008.98"
"08/13/2019 - 16:21","base_altitutde","35.5227"
"08/13/2019 - 16:21","temp","31.61"
"08/13/2019 - 16:21","pressure","1031.83"
"08/13/2019 - 16:21","depth","0.19"
"08/13/2019 - 16:21","base_temp","24.9598"
"08/13/2019 - 16:21","batt","3.52559"
"08/13/2019 - 16:21","height","0.222511"
"08/13/2019 - 16:21","base_humid","78.0087"
"08/13/2019 - 16:23","base_pressure","1008.98"
"08/13/2019 - 16:23","base_altitutde","35.1211"
"08/13/2019 - 16:23","temp","31.58"
"08/13/2019 - 16:23","pressure","1031.85"
"08/13/2019 - 16:23","depth","0.19"
"08/13/2019 - 16:23","base_temp","24.9293"
"08/13/2019 - 16:23","batt","3.52881"
"08/13/2019 - 16:23","height","0.222649"
"08/13/2019 - 16:23","base_humid","77.7136"
"08/13/2019 - 16:24","base_pressure","1009.03"
"08/13/2019 - 16:24","base_altitutde","35.2057"
"08/13/2019 - 16:24","temp","31.55"
"08/13/2019 - 16:24","pressure","1031.90"
"08/13/2019 - 16:24","depth","0.19"
"08/13/2019 - 16:24","base_temp","24.9141"
"08/13/2019 - 16:24","batt","3.52881"
"08/13/2019 - 16:24","height","0.222718"
"08/13/2019 - 16:24","base_humid","78.0344"
"08/13/2019 - 16:26","base_pressure","1009.03"
